Date,Heure,kWh,AvgTemp,Season,Screens Plug
2019-05-30,16,0.57,21,Spring,No
2019-05-30,17,0.76,20,Spring,No
2019-05-30,18,0.49,17,Spring,No
2019-05-30,19,1.22,14,Spring,No
2019-05-30,20,1.03,13,Spring,No
2019-05-30,21,1.12,12,Spring,No
2019-05-30,22,1.32,11,Spring,No
2019-05-30,23,0.78,9,Spring,No
2019-05-31,00,,8,Spring,No
2019-05-31,01,,7,Spring,No
2019-05-31,02,,6,Spring,No
2019-05-31,03,0.55,5,Spring,No
2019-05-31,04,0.44,5,Spring,No
2019-05-31,05,0.4,6,Spring,No
2019-05-31,06,1.17,7,Spring,No
2019-05-31,07,0.44,9,Spring,No
2019-05-31,08,1.4,10,Spring,No
2019-05-31,09,3.31,12,Spring,No
2019-05-31,10,1.57,12,Spring,No
2019-05-31,11,1.29,14,Spring,No
2019-05-31,12,1.05,14,Spring,No
2019-05-31,13,3.46,14,Spring,No
2019-05-31,14,1.68,15,Spring,No
2019-05-31,15,1.41,14,Spring,No
2019-05-31,16,3.85,14,Spring,No
2019-05-31,17,4.92,13,Spring,No
2019-05-31,18,3.67,12,Spring,No
2019-05-31,19,3.3,9,Spring,No
2019-05-31,20,3.44,8,Spring,No
2019-05-31,21,2.2,9,Spring,No
2019-05-31,22,1.33,9,Spring,No
2019-05-31,23,1.58,10,Spring,No
2019-06-01,00,1.5,9,Spring,No
2019-06-01,01,0.98,7,Spring,No
2019-06-01,02,0.76,5,Spring,No
2019-06-01,03,0.49,5,Spring,No
2019-06-01,04,0.5,5,Spring,No
2019-06-01,05,0.48,8,Spring,No
2019-06-01,06,0.75,11,Spring,No
2019-06-01,07,0.54,13,Spring,No
2019-06-01,08,1.57,14,Spring,No
2019-06-01,09,1.05,15,Spring,No
2019-06-01,10,1.99,17,Spring,No
2019-06-01,11,2.38,17,Spring,No
2019-06-01,12,1.22,18,Spring,No
2019-06-01,13,1.71,19,Spring,No
2019-06-01,14,2.3,19,Spring,No
2019-06-01,15,0.92,20,Spring,No
2019-06-01,16,1.3,19,Spring,No
2019-06-01,17,0.96,18,Spring,No
2019-06-01,18,0.91,15,Spring,No
